Number,Boat type,Crew,Class,Start time,Finish time,Raw time,Category,Time with adjustment,Vet adjustment,
131,1x,99 Will Dunlop,M IM3,01:09:46,01:21:07,00:11:21,1x M IM3,00:11:21,,NOT
445,1x,PB&D SC,M IM3,00:34:41,00:46:10,00:11:29,1x M IM3,00:11:29,,
145,1x,Rob Roy Oeffner,M IM3,01:14:10,01:25:53,00:11:43,1x M IM3,00:11:43,,
443,1x,PB&D CM,M IM3,00:34:10,00:46:17,00:12:07,1x M IM3,00:12:07,,
444,1x,PB&D NB,M IM3,00:34:26,00:46:46,00:12:20,1x M IM3,00:12:20,,
455,1x,RobRoy Juniors Fowlie,M J13,02:26:30,02:42:19,00:15:49,1x M J13,00:15:49,,NOT
459,1x,Champs Masters,M J14,00:39:51,00:54:42,00:14:51,1x M J14,00:14:51,,
452,1x,Leys School Froy,M J15,00:36:36,00:50:30,00:13:54,1x M J15,00:13:54,,
236,1x,Deben,M J16,01:55:17,02:07:27,00:12:10,1x M J16,00:12:10,,NOT
451,1x,Leys School Barrett,M J16,00:36:13,00:48:51,00:12:38,1x M J16,00:12:38,,
148,1x,RobRoy Juniors Gray,M J16,01:16:55,01:30:53,00:13:58,1x M J16,00:13:58,,
250,1x,99 Junior Macdonald,M J17,02:01:30,02:13:17,00:11:47,1x M J17,00:11:47,,NOT
249,1x,99 Junior England,M J17,02:00:56,02:13:22,00:12:26,1x M J17,00:12:26,,
450,1x,Leys School Campbell,M J17,00:35:54,00:49:16,00:13:22,1x M J17,00:13:22,,
428,1x,Deben,M J18,00:29:16,00:40:18,00:11:02,1x M J18,00:11:02,,NOT
449,1x,Leys School Mason,M J18,00:35:29,00:47:45,00:12:16,1x M J18,00:12:16,,
448,1x,Leys School Horgan,M J18,00:35:07,00:48:08,00:13:01,1x M J18,00:13:01,,
313,1x,RobRoy,M MasB,02:20:32,02:31:52,00:11:20,1x M Mas,00:11:14,00:00:06,YES
137,1x,Champs,M MasE,01:12:02,01:24:20,00:12:18,1x M Mas,00:11:26,00:00:52,
135,1x,Cantabrigian Richardson,M MasD,01:11:28,01:23:51,00:12:23,1x M Mas,00:11:47,00:00:36,
440,1x,Broxbourne,M MasD,00:32:54,00:46:04,00:13:10,1x M Mas,00:12:34,00:00:36,
248,1x,Wadham,M MasD,02:00:41,02:16:23,00:15:42,1x M Mas,00:15:06,00:00:36,
246,1x,PB&D NB,M Nov,01:59:48,02:11:25,00:11:37,1x M Nov,00:11:37,,NOT
141,1x,Pembroke Runyon,M Nov,01:16:26,01:28:06,00:11:40,1x M Nov,00:11:40,,
247,1x,PB&D SC,M Nov,02:00:20,02:12:07,00:11:47,1x M Nov,00:11:47,,
230,1x,Champs Haynes,M Nov,01:52:38,02:04:30,00:11:52,1x M Nov,00:11:52,,
442,1x,City Thomas,M Nov,00:33:47,00:46:07,00:12:20,1x M Nov,00:12:20,,
245,1x,PB&D CM,M Nov,01:59:22,02:12:00,00:12:38,1x M Nov,00:12:38,,
441,1x,City Colm,M Nov,00:33:15,00:46:01,00:12:46,1x M Nov,00:12:46,,
227,1x,IOE,M Senior,01:50:53,02:01:20,00:10:27,1x M Sen,00:10:27,,
134,1x,Press Breu,W IM3,01:11:06,01:25:26,00:14:20,1x W IM3,00:14:20,,
257,1x,RobRoy Juniors Ciuhak,W J13,02:03:26,02:17:19,00:13:53,1x W J13,00:13:53,,
446,1x,Deben,W J15,00:37:04,00:50:11,00:13:07,1x W J15,00:13:07,,NOT
256,1x,RobRoy Juniors Noosha,W J15,02:03:15,02:18:21,00:15:06,1x W J15,00:15:06,,
326,1x,Cantabrigian Pestana,W J15,02:25:58,02:46:45,00:20:47,1x W J15,00:20:47,,
447,1x,Deben W-F,W J16,00:37:16,00:50:22,00:13:06,1x W J16,00:13:06,,NOT
147,1x,RobRoy Juniors Hindmarsh was 2x,W J16,01:16:42,01:30:32,00:13:50,1x W J16,00:13:50,,
149,1x,99 Junior Moody,W J17,01:17:54,01:31:10,00:13:16,1x W J17,00:13:16,,
255,1x,Deben,W J18,02:02:42,02:16:01,00:13:19,1x W J18,00:13:19,,
150,1x,Cantabs Bauer,W MasB,01:18:24,01:31:22,00:12:58,1x W Mas,00:12:51,00:00:07,YES
254,1x,PB&D BR,W MasB,02:02:23,02:15:28,00:13:05,1x W Mas,00:12:58,00:00:07,
458,1x,PB&D BR,W MasC,00:39:06,00:52:25,00:13:19,1x W Mas,00:12:59,00:00:20,
457,1x,PB&D AS,W Mas,00:37:35,00:51:28,00:13:53,1x W Mas,00:13:53,00:00:00,
436,1x,Deben Leljiveld,W Nov,00:32:05,00:45:08,00:13:03,1x W Nov,00:13:03,,
253,1x,PB&D AS,W Nov,02:02:12,02:15:23,00:13:11,1x W Nov,00:13:11,,
456,1x,City Maria,W Nov,00:38:43,00:52:44,00:14:01,1x W Nov,00:14:01,,
225,2-,Press Cooper,M MasD,01:51:35,02:03:00,00:11:25,2- M Mas,00:11:25,,
130,2-,Press (Miers/Taylor),M MasC,01:09:07,01:20:59,00:11:52,2- M Mas,00:11:52,,
240,2x-,Rob Roy Oeffner,M IM3,01:57:10,02:08:34,00:11:24,2x- M IM3,00:11:24,,
133,2x-,City Junior Jacklin,M J15,01:10:39,01:22:15,00:11:36,2x- M J15,00:11:36,,
132,2x-,City Junior Smart,M J16,01:10:17,01:21:09,00:10:52,2x- M J16,00:10:52,,YES
142,2x-,RobRoy Juniors Clements/Turnbull,M J16,01:14:33,01:26:12,00:11:39,2x- M J16,00:11:39,,
143,2x-,RobRoy Juniors Taylor/Sewell,M J16,01:14:42,01:26:43,00:12:01,2x- M J16,00:12:01,,
437,2x-,Leys School,M J16,00:32:34,00:45:13,00:12:39,2x- M J16,00:12:39,,
226,2x-,Deben,M J18,01:51:12,02:01:35,00:10:23,2x- M J18,00:10:23,,
426,2x-,Deben,M J18,00:28:00,00:38:56,00:10:56,2x- M J18,00:10:56,,
424,2x-,RobRoy,M MasB,00:27:42,00:38:19,00:10:37,2x- M Mas,00:10:37,,
